City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,29.21,75,43,5.34,TK,2024-06-10
1,st. john's,47.5649,-52.7093,11.66,95,20,8.23,CA,2024-06-10
2,west island,-12.1568,96.8225,24.99,94,75,6.69,CC,2024-06-10
3,port-aux-francais,-49.35,70.2167,2.87,70,58,14.12,TF,2024-06-10
4,grytviken,-54.2811,-36.5092,-4.3,85,56,5.19,GS,2024-06-10
5,pisco,-13.7,-76.2167,14.03,88,20,2.06,PE,2024-06-10
6,lihue,21.9789,-159.3672,29.58,73,40,6.69,US,2024-06-10
7,san cristobal verapaz,15.3833,-90.4,18.2,93,100,0.48,GT,2024-06-10
8,waitangi,-43.9535,-176.5597,10.46,92,100,2.68,NZ,2024-06-10
9,luchow,52.9667,11.15,11.17,91,100,6.13,DE,2024-06-10
10,port alfred,-33.5906,26.891,16.57,44,16,4.78,ZA,2024-06-10
11,ancud,-41.8697,-73.8203,10.74,89,100,6.72,CL,2024-06-10
12,adamstown,-25.066,-130.1015,22.68,79,100,6.69,PN,2024-06-10
13,bethel,41.3712,-73.414,16.2,80,0,1.13,US,2024-06-10
14,khandyga,62.6667,135.6,22.53,29,45,0.81,RU,2024-06-10
15,saint-pierre,-21.3393,55.4781,22.32,71,12,5.26,RE,2024-06-10
16,papatowai,-46.5619,169.4708,6.51,74,76,4.71,NZ,2024-06-10
17,marsabit,2.3284,37.9899,17.31,74,42,7.94,KE,2024-06-10
18,la ronge,55.1001,-105.2842,11.14,93,100,1.54,CA,2024-06-10
19,albany,42.6001,-73.9662,14.3,80,97,0.45,US,2024-06-10
20,port lincoln,-34.7333,135.8667,17.81,56,40,9.8,AU,2024-06-10
21,margaret river,-33.95,115.0667,17.5,56,81,2.33,AU,2024-06-10
22,mandiana,10.6333,-8.6833,24.82,77,32,2.81,GN,2024-06-10
23,cam ranh,11.9214,109.1591,33.98,46,0,3.6,VN,2024-06-10
24,ushuaia,-54.8,-68.3,-5.19,93,0,1.54,AR,2024-06-10
25,keflavik,64.0049,-22.5624,6.95,87,100,3.09,IS,2024-06-10
26,mirnyy,62.5353,113.9611,24.57,27,43,0.89,RU,2024-06-10
27,okha,53.5739,142.9478,6.25,95,100,4.02,RU,2024-06-10
28,puerto natales,-51.7236,-72.4875,0.68,96,89,1.3,CL,2024-06-10
29,ghadamis,30.1337,9.5007,33.23,13,55,5.43,LY,2024-06-10
30,port elizabeth,-33.918,25.5701,12.95,77,0,3.09,ZA,2024-06-10
31,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,86,0,8.0,RU,2024-06-10
32,vila do maio,15.1333,-23.2167,23.44,81,74,7.05,CV,2024-06-10
33,broken hill,-31.95,141.4333,20.49,26,76,10.69,AU,2024-06-10
34,iqaluit,63.7506,-68.5145,-0.15,80,100,1.03,CA,2024-06-10
35,sorong,-0.8833,131.25,25.45,89,100,1.59,ID,2024-06-10
36,lhokseumawe,5.1801,97.1507,32.11,58,98,3.1,ID,2024-06-10
37,aldan,58.6031,125.3894,20.63,34,34,4.38,RU,2024-06-10
38,college,64.8569,-147.8028,19.99,56,75,3.09,US,2024-06-10
39,warrenton,-28.114,24.8475,5.02,59,2,4.36,ZA,2024-06-10
40,port-vila,-17.7338,168.3219,27.78,78,100,4.63,VU,2024-06-10
41,invercargill,-46.4,168.35,6.12,84,90,2.24,NZ,2024-06-10
42,edinburgh of the seven seas,-37.0676,-12.3116,15.33,81,60,17.85,SH,2024-06-10
43,mata-utu,-13.2816,-176.1745,28.02,68,98,6.2,WF,2024-06-10
44,rosarito,32.3333,-117.0333,18.63,83,65,1.65,MX,2024-06-10
45,hermanus,-34.4187,19.2345,18.78,54,100,4.78,ZA,2024-06-10
46,thompson,55.7435,-97.8558,11.09,76,75,1.03,CA,2024-06-10
47,vilyuchinsk,52.9306,158.4028,14.15,83,100,2.74,RU,2024-06-10
48,wailua homesteads,22.0669,-159.378,29.24,79,40,6.69,US,2024-06-10
49,mejit,10.2753,170.8646,28.37,78,4,8.25,MH,2024-06-10
50,virginia,37.5481,-77.4467,21.08,72,100,3.6,US,2024-06-10
51,cannonvale,-20.2833,148.7,23.1,57,18,5.46,AU,2024-06-10
52,haiku-pauwela,20.9219,-156.3051,26.01,72,20,9.77,US,2024-06-10
53,uturoa,-16.7333,-151.4333,25.54,76,90,9.74,PF,2024-06-10
54,itoman,26.1247,127.6694,26.43,100,75,3.6,JP,2024-06-10
55,gaiman,-43.2897,-65.4929,12.42,60,88,9.6,AR,2024-06-10
56,yorkton,51.2167,-102.4677,12.91,94,100,4.63,CA,2024-06-10
57,fuerte olimpo,-21.0415,-57.8738,21.31,52,46,2.32,PY,2024-06-10
58,city of balikpapan,-1.242,116.8942,26.97,83,20,0.0,ID,2024-06-10
59,bilibino,68.0546,166.4372,14.86,37,97,0.51,RU,2024-06-10
60,la libertad,-2.2333,-80.9,20.52,84,83,2.97,EC,2024-06-10
61,tazacorte,28.629,-17.9293,20.54,85,75,5.66,ES,2024-06-10
62,laojunmiao,39.8333,97.7333,26.97,14,26,6.83,CN,2024-06-10
63,bumba,2.1833,22.4667,22.89,85,84,1.21,CD,2024-06-10
64,manado,1.487,124.8455,34.43,59,40,2.06,ID,2024-06-10
65,whitehorse,60.7161,-135.0538,15.01,42,100,4.63,CA,2024-06-10
66,zheshart,62.0731,49.5733,17.72,67,100,1.93,RU,2024-06-10
67,lobujya,27.95,86.8167,6.13,60,0,3.94,NP,2024-06-10
68,hami,42.8,93.45,35.29,10,20,4.2,CN,2024-06-10
69,akjoujt,19.6969,-14.4164,30.33,21,69,8.23,MR,2024-06-10
70,puerto ayora,-0.7393,-90.3518,21.97,98,50,2.55,EC,2024-06-10
71,vilyuysk,63.7553,121.6247,24.44,28,99,3.13,RU,2024-06-10
72,georgetown,5.4112,100.3354,33.96,62,20,2.57,MY,2024-06-10
73,holualoa,19.6228,-155.9522,25.91,77,75,3.6,US,2024-06-10
74,aioun,16.6614,-9.6149,33.61,27,35,4.74,MR,2024-06-10
75,freetown,8.484,-13.2299,25.84,89,75,4.12,SL,2024-06-10
76,pangkalpinang,-2.1333,106.1333,31.24,64,100,0.62,ID,2024-06-10
77,punta arenas,-53.15,-70.9167,2.06,93,100,1.54,CL,2024-06-10
78,port mathurin,-19.6833,63.4167,24.22,72,81,9.63,MU,2024-06-10
79,sao joao da barra,-21.6403,-41.0511,21.01,83,0,2.97,BR,2024-06-10
80,luganville,-15.5333,167.1667,27.24,80,49,1.7,VU,2024-06-10
81,hithadhoo,-0.6,73.0833,28.45,72,68,2.75,MV,2024-06-10
82,vila franca do campo,37.7167,-25.4333,18.27,99,72,2.01,PT,2024-06-10
83,baikonur,45.6167,63.3167,29.03,33,53,6.36,KZ,2024-06-10
84,tiksi,71.6872,128.8694,3.23,77,55,3.39,RU,2024-06-10
85,blackmans bay,-43.0167,147.3167,11.52,79,92,1.79,AU,2024-06-10
86,vorgashor,67.5833,63.95,2.11,77,26,2.97,RU,2024-06-10
87,tshikapa,-6.4167,20.8,17.21,48,2,1.53,CD,2024-06-10
88,longyearbyen,78.2186,15.6401,4.91,70,75,4.63,SJ,2024-06-10
89,hermiston,45.8404,-119.2895,25.01,42,0,2.06,US,2024-06-10
90,lebu,-37.6167,-73.65,12.81,95,98,8.56,CL,2024-06-10
91,zheleznogorsk-ilimskiy,56.5768,104.1217,18.28,53,92,2.2,RU,2024-06-10
92,belmonte,-15.8631,-38.8828,22.1,81,50,2.2,BR,2024-06-10
93,badger,64.8,-147.5333,19.95,50,75,3.09,US,2024-06-10
94,avarua,-21.2078,-159.775,22.03,56,75,3.09,CK,2024-06-10
95,gedo,9.0167,37.45,13.36,92,49,1.9,ET,2024-06-10
96,qaqortoq,60.7167,-46.0333,4.64,97,100,0.98,GL,2024-06-10
97,klyuchi,52.2667,79.1667,21.8,72,29,7.54,RU,2024-06-10
98,puerto san jose,13.9256,-90.8244,25.87,89,100,3.91,GT,2024-06-10
99,kangding,30.0513,101.9603,18.22,84,96,2.45,CN,2024-06-10
100,salinas,36.6777,-121.6555,15.56,90,100,5.66,US,2024-06-10
101,sitka,57.0531,-135.33,9.94,87,100,4.63,US,2024-06-10
102,fale old settlement,-9.3852,-171.2468,29.28,76,44,4.86,TK,2024-06-10
103,linxia chengguanzhen,35.6003,103.2064,25.2,21,55,1.35,CN,2024-06-10
104,nar'yan-mar,67.6713,53.087,7.28,77,100,5.36,RU,2024-06-10
105,battle ground,45.7809,-122.5334,20.45,77,8,0.89,US,2024-06-10
106,rongelap,11.1635,166.8941,28.49,77,75,8.52,MH,2024-06-10
107,hawaiian paradise park,19.5933,-154.9731,24.73,87,100,4.12,US,2024-06-10
108,ticul,20.4,-89.5333,24.42,98,66,1.06,MX,2024-06-10
109,dudinka,69.4058,86.1778,15.38,57,100,6.26,RU,2024-06-10
110,la'ie,21.6477,-157.9253,27.98,79,0,2.68,US,2024-06-10
111,lospalos,-8.5186,127.0025,25.89,67,66,4.83,TL,2024-06-10
112,tchintabaraden,15.8969,5.7985,30.53,55,4,7.55,NE,2024-06-10
113,estrela,-28.0611,-50.9383,14.13,97,1,1.32,BR,2024-06-10
114,jinchang,38.4953,102.1739,30.11,13,6,7.37,CN,2024-06-10
115,praia da vitoria,38.7333,-27.0667,17.64,82,40,1.66,PT,2024-06-10
116,jamestown,42.097,-79.2353,12.77,90,100,2.06,US,2024-06-10
117,santa ana,33.7456,-117.8678,21.05,83,20,3.09,US,2024-06-10
118,yellowknife,62.456,-114.3525,12.29,71,75,2.57,CA,2024-06-10
119,laurel bay,32.4502,-80.7848,23.84,94,40,2.06,US,2024-06-10
120,pacific grove,36.6177,-121.9166,14.12,90,100,2.06,US,2024-06-10
121,wuhai,39.6647,106.8122,33.6,12,45,7.72,CN,2024-06-10
122,alice springs,-23.7,133.8833,24.75,22,0,1.54,AU,2024-06-10
123,la passe,45.5549,-0.8967,14.13,91,100,3.33,FR,2024-06-10
124,stanley,54.868,-1.6985,7.38,86,20,3.09,GB,2024-06-10
125,talnakh,69.4865,88.3972,15.11,57,100,4.81,RU,2024-06-10
126,silver city,32.7701,-108.2803,20.98,35,0,3.09,US,2024-06-10
127,kragujevac,44.0167,20.9167,15.16,63,44,1.35,RS,2024-06-10
128,enewetak,11.3474,162.3373,28.24,83,100,8.73,MH,2024-06-10
129,saipan,15.1355,145.701,28.39,89,75,4.12,MP,2024-06-10
130,san jose de jachal,-30.2406,-68.7469,13.1,36,31,2.28,AR,2024-06-10
131,isafjordur,66.0755,-23.124,4.82,72,25,0.56,IS,2024-06-10
132,berdigestyakh,62.0989,126.6992,25.33,26,100,1.0,RU,2024-06-10
133,fouesnant,47.8919,-4.0148,9.12,81,0,1.54,FR,2024-06-10
134,olonkinbyen,70.9221,-8.7187,-1.48,84,100,4.85,SJ,2024-06-10
135,nanao,37.05,136.9667,32.4,46,6,4.48,JP,2024-06-10
136,howrah,22.5892,88.3103,34.0,75,20,4.12,IN,2024-06-10
137,mount pearl,47.5166,-52.7813,11.19,96,20,8.23,CA,2024-06-10
138,rokytne,51.2796,27.214,18.35,86,51,1.93,UA,2024-06-10
139,nizhnyaya poyma,56.1622,97.1933,18.58,60,85,1.39,RU,2024-06-10
140,acapulco de juarez,16.8634,-99.8901,26.9,83,75,2.06,MX,2024-06-10
141,kavaratti,10.5669,72.642,28.75,83,99,7.33,IN,2024-06-10
142,susuman,62.7833,148.1667,13.32,35,86,0.45,RU,2024-06-10
143,minas de marcona,-15.2119,-75.1103,11.47,86,55,3.56,PE,2024-06-10
144,hadibu,12.65,54.0333,29.24,71,58,9.59,YE,2024-06-10
145,ilulissat,69.2167,-51.1,3.01,75,100,2.57,GL,2024-06-10
146,yuzhno-kurilsk,44.0306,145.8556,17.43,77,80,1.92,RU,2024-06-10
147,gebeit,21.0667,36.3167,31.09,18,36,2.16,SD,2024-06-10
148,amasra,41.7463,32.3863,17.03,59,12,1.72,TR,2024-06-10
149,coronel suarez,-37.4547,-61.9334,9.72,65,90,2.61,AR,2024-06-10
150,dhuusamarreeb,5.535,46.3861,25.89,65,91,10.17,SO,2024-06-10
151,lerwick,60.1545,-1.1494,8.0,75,82,8.71,GB,2024-06-10
152,palmer,42.1584,-72.3287,15.23,70,18,1.28,US,2024-06-10
153,t'aebaek,37.1759,128.9889,28.81,36,3,3.52,KR,2024-06-10
154,beyneu,45.3167,55.2,29.78,35,100,7.47,KZ,2024-06-10
155,namsos,64.4662,11.4957,10.03,87,75,2.57,NO,2024-06-10
156,punta del este,-34.9667,-54.95,10.49,94,100,1.54,UY,2024-06-10
157,hamilton,39.1834,-84.5333,13.32,88,0,0.45,US,2024-06-10
158,bayburt,40.2589,40.2278,15.02,66,2,1.17,TR,2024-06-10
159,nikolayevsk-on-amure,53.1406,140.73,6.79,98,100,1.79,RU,2024-06-10
160,terter,40.345,46.9289,23.49,61,28,2.9,AZ,2024-06-10
161,tinajo,29.0788,-13.7081,20.49,73,75,6.69,ES,2024-06-10
162,chonchi,-42.6128,-73.8092,10.62,93,100,3.56,CL,2024-06-10
163,bonab,37.3404,46.0561,19.25,52,75,2.06,IR,2024-06-10
164,al bawiti,28.3492,28.8659,26.77,28,0,1.76,EG,2024-06-10
165,campbell river,50.0163,-125.2446,15.74,100,75,1.54,CA,2024-06-10
166,ust-nera,64.5667,143.2,15.93,42,100,1.65,RU,2024-06-10
167,saint-joseph,-21.3667,55.6167,21.72,77,24,6.4,RE,2024-06-10
168,sibut,5.718,19.0739,22.49,82,100,0.93,CF,2024-06-10
169,gorontalo,0.5412,123.0595,29.76,73,100,2.39,ID,2024-06-10
170,kapit,2.0167,112.9333,31.59,64,99,0.76,MY,2024-06-10
171,bopolu,7.0667,-10.4875,23.0,99,98,0.28,LR,2024-06-10
172,fu'an,27.0892,119.6453,26.63,94,100,0.54,CN,2024-06-10
173,tateyama,34.9833,139.8667,23.29,74,55,4.54,JP,2024-06-10
174,calingasta,-31.3308,-69.4078,9.11,55,100,0.83,AR,2024-06-10
175,mount isa,-20.7333,139.5,28.87,17,14,3.09,AU,2024-06-10
176,malpica,43.3228,-8.8105,14.09,65,64,2.54,ES,2024-06-10
177,rengasdengklok,-6.1592,107.2981,32.07,59,28,4.5,ID,2024-06-10
178,utrik,11.2278,169.8474,28.27,78,2,8.39,MH,2024-06-10
179,qamdo,31.1667,97.2333,18.02,36,19,1.82,CN,2024-06-10
180,lata,40.1629,-8.3327,13.93,93,0,0.83,PT,2024-06-10
181,kapuskasing,49.4169,-82.4331,6.0,87,0,1.54,CA,2024-06-10
182,foumban,5.7291,10.9001,17.15,92,93,1.17,CM,2024-06-10
183,kyren,51.6828,102.1408,14.41,93,81,0.89,RU,2024-06-10
184,sipalay,9.75,122.5,30.42,69,99,4.11,PH,2024-06-10
185,carnarvon,-24.8667,113.6333,22.9,63,71,2.94,AU,2024-06-10
186,george town,5.4112,100.3354,33.96,62,20,2.57,MY,2024-06-10
187,afaahiti,-17.75,-149.2833,24.93,81,99,8.69,PF,2024-06-10
188,tual,-5.6667,132.75,26.8,81,94,9.13,ID,2024-06-10
189,lappeenranta,61.0587,28.1887,13.78,87,0,4.12,FI,2024-06-10
190,hlybokaye,55.1382,27.6879,14.32,93,100,3.2,BY,2024-06-10
191,nova vicosa,-17.8919,-39.3719,21.96,78,95,1.39,BR,2024-06-10
192,huangmei,30.1924,116.025,30.51,60,100,2.71,CN,2024-06-10
193,nadi,-17.8,177.4167,30.0,45,20,5.66,FJ,2024-06-10
194,krasne,49.9145,24.6134,16.42,94,70,3.38,UA,2024-06-10
195,kurchatov,51.6601,35.6521,23.23,73,80,6.44,RU,2024-06-10
196,dubbo,-32.25,148.6167,17.07,55,100,6.17,AU,2024-06-10
197,usinsk,65.9939,57.5281,6.71,84,100,4.92,RU,2024-06-10
198,arenapolis,-14.4503,-56.8461,19.69,62,1,1.4,BR,2024-06-10
199,westport,41.1415,-73.3579,18.09,77,0,1.34,US,2024-06-10
200,aasiaat,68.7098,-52.8699,0.45,79,100,3.53,GL,2024-06-10
201,trashigang,27.3331,91.5542,26.63,62,57,3.24,BT,2024-06-10
202,kudat,6.8837,116.8477,31.96,66,20,2.57,MY,2024-06-10
203,viedma,-40.8135,-62.9967,11.67,58,100,4.3,AR,2024-06-10
204,sukabumi,-6.9181,106.9267,29.61,75,62,0.69,ID,2024-06-10
205,nehe,48.4833,124.8333,20.47,69,100,2.76,CN,2024-06-10
206,al bardiyah,31.7561,25.0865,24.2,62,0,3.41,LY,2024-06-10
207,codrington,-38.2667,141.9667,14.52,65,83,10.55,AU,2024-06-10
208,saldanha,-33.0117,17.9442,18.97,44,100,10.94,ZA,2024-06-10
209,tsiombe,-25.3,45.4833,19.03,70,87,6.1,MG,2024-06-10
210,colonia,50.9333,6.95,10.88,84,40,4.12,DE,2024-06-10
211,russkaya polyana,49.417,31.9201,19.22,89,61,6.47,UA,2024-06-10
212,bloomfield,40.8068,-74.1854,19.83,70,0,4.12,US,2024-06-10
213,fortuna,40.5982,-124.1573,12.19,93,0,2.57,US,2024-06-10
214,iskateley,67.6803,53.1512,7.23,77,100,5.36,RU,2024-06-10
215,farah,32.5,62.5,33.6,10,0,3.64,AF,2024-06-10
216,cabo san lucas,22.8909,-109.9124,27.56,67,0,5.24,MX,2024-06-10
217,garagoa,5.0824,-73.3633,16.79,99,100,0.15,CO,2024-06-10
218,laktasi,44.9081,17.3008,17.92,100,40,1.03,BA,2024-06-10
219,kattivakkam,13.2167,80.3167,33.87,66,98,6.41,IN,2024-06-10
220,anadyr,64.75,177.4833,9.28,61,0,6.0,RU,2024-06-10
221,kismayo,-0.3582,42.5454,26.89,74,53,8.01,SO,2024-06-10
222,boguchany,58.3814,97.4531,22.9,43,22,1.49,RU,2024-06-10
223,sebeta,8.9167,38.6167,15.02,66,69,1.01,ET,2024-06-10
224,fisterra,42.9049,-9.2629,14.3,71,0,7.39,ES,2024-06-10
225,takoradi,4.8845,-1.7554,25.4,87,98,5.24,GH,2024-06-10
226,kavieng,-2.5744,150.7967,29.78,71,99,3.64,PG,2024-06-10
227,tanhacu,-14.0214,-41.2481,18.06,94,15,1.3,BR,2024-06-10
228,bonthe,7.5264,-12.505,25.53,88,98,1.69,SL,2024-06-10
229,villanueva,15.3167,-88.0,26.55,83,40,1.54,HN,2024-06-10
230,happy valley-goose bay,53.3168,-60.3315,12.17,76,75,5.14,CA,2024-06-10
231,krasnyy chikoy,50.3643,108.7512,18.59,73,92,3.07,RU,2024-06-10
232,medicine hat,50.0501,-110.6683,18.25,48,75,2.57,CA,2024-06-10
233,lompoc,34.6391,-120.4579,14.45,88,100,3.09,US,2024-06-10
234,katsuura,35.1333,140.3,23.22,71,54,4.4,JP,2024-06-10
235,tieli,46.95,128.05,23.37,66,98,1.72,CN,2024-06-10
236,nguigmi,14.2495,13.1092,28.34,53,79,4.9,NE,2024-06-10
237,vernon,50.2581,-119.2691,21.74,37,69,0.51,CA,2024-06-10
238,victoriaville,46.0501,-71.9658,13.6,89,100,0.89,CA,2024-06-10
239,akureyri,65.6835,-18.0878,3.96,93,100,2.06,IS,2024-06-10
240,nieuw amsterdam,5.8833,-55.0833,26.09,88,92,2.46,SR,2024-06-10
241,ljungby,56.8332,13.9408,11.45,76,100,1.57,SE,2024-06-10
242,vadso,70.0744,29.7487,6.09,87,100,3.09,NO,2024-06-10
243,kone,-21.0595,164.8658,22.78,78,85,2.52,NC,2024-06-10
244,nelidovo,56.2211,32.7774,15.31,99,100,1.88,RU,2024-06-10
245,kalmunai,7.4167,81.8167,31.57,58,98,0.79,LK,2024-06-10
246,konarka,19.9,86.1167,33.22,66,67,7.27,IN,2024-06-10
247,ouricuri,-7.8825,-40.0817,19.74,92,11,2.34,BR,2024-06-10
248,gambiran satu,-8.3939,114.1464,26.28,87,99,0.56,ID,2024-06-10
249,dailekh,28.8333,81.6667,36.98,10,76,3.05,NP,2024-06-10
250,dicle,38.3751,40.0722,21.42,53,0,3.21,TR,2024-06-10
251,at taj,24.2049,23.2857,27.63,17,0,3.3,LY,2024-06-10
252,tura,25.5198,90.2201,31.05,70,20,3.31,IN,2024-06-10
253,shache,38.4167,77.2406,31.16,18,35,2.85,CN,2024-06-10
254,altay,47.8667,88.1167,27.29,32,60,4.91,CN,2024-06-10
255,mazatan,14.8667,-92.45,24.62,94,100,4.09,MX,2024-06-10
256,barah,13.7,30.3667,30.31,49,87,3.3,SD,2024-06-10
257,south hedland,-20.4089,118.5983,27.96,26,2,5.66,AU,2024-06-10
258,puning,23.3107,116.1687,32.55,63,67,5.54,CN,2024-06-10
259,charo,19.75,-101.05,19.91,55,71,0.74,MX,2024-06-10
260,constitucion,-35.3333,-72.4167,12.95,93,100,8.81,CL,2024-06-10
261,alofi,-19.0595,-169.9187,24.94,69,20,4.12,NU,2024-06-10
262,pelabuhanratu,-6.9875,106.5514,28.95,81,34,2.26,ID,2024-06-10
263,reggane,26.7158,0.1714,33.19,15,0,6.64,DZ,2024-06-10
264,luang prabang,19.8856,102.1347,34.26,52,95,1.03,LA,2024-06-10
265,ribeira grande,38.5167,-28.7,18.21,84,83,3.13,PT,2024-06-10
266,muborak,39.2553,65.1528,37.87,12,0,4.23,UZ,2024-06-10
267,lyubinskiy,55.1542,72.6925,16.82,94,100,6.91,RU,2024-06-10
268,margarita belen,-27.2616,-58.9722,22.79,73,0,2.15,AR,2024-06-10
269,palikir - national government center,6.9248,158.1611,31.47,74,100,4.63,FM,2024-06-10
270,chibougamau,49.9168,-74.3659,10.79,87,100,2.57,CA,2024-06-10
271,salalah,17.0151,54.0924,31.05,79,40,1.54,OM,2024-06-10
272,tazovsky,67.4667,78.7,16.74,57,83,5.95,RU,2024-06-10
273,faya-largeau,17.9257,19.1043,30.64,47,72,3.04,TD,2024-06-10
274,constantia,44.1833,28.65,23.38,77,64,5.51,RO,2024-06-10
275,midvagur,62.0511,-7.1939,4.46,87,100,5.66,FO,2024-06-10
276,el calafate,-50.3408,-72.2768,0.55,98,100,0.77,AR,2024-06-10
277,terrace,54.5163,-128.6035,12.95,76,100,3.6,CA,2024-06-10
278,sinabang,2.4803,96.3801,28.78,76,96,0.57,ID,2024-06-10
279,ambon,-3.6954,128.1814,27.71,95,40,2.57,ID,2024-06-10
280,bredasdorp,-34.5322,20.0403,14.71,47,100,3.29,ZA,2024-06-10
281,doffing,26.2745,-98.3858,29.75,84,0,3.09,US,2024-06-10
282,batang berjuntai,3.3833,101.4167,34.03,60,50,1.92,MY,2024-06-10
283,aral,40.5156,81.2636,32.73,16,3,3.38,CN,2024-06-10
284,salym,60.0625,71.4789,16.17,67,100,2.55,RU,2024-06-10
